brand,model,transmission,make_year,reg_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,has_insurance,spare_key,reg_number,title
Volkswagen,TAIGUN TOPLINE 1.0 TSI AT,Automatic,2022,,Petrol,999.0,35918,1st owner,1454000,27676,True,Yes,TS08,2022 Volkswagen TAIGUN TOPLINE 1.0 TSI AT
Volkswagen,TAIGUN GT PLUS 1.5 TSI DSG,Automatic,2022,,Petrol,1498.0,46791,1st owner,1583000,30131,True,No,TS12,2022 Volkswagen TAIGUN GT PLUS 1.5 TSI DSG
Toyota,URBAN CRUISER PREMIUM GRADE MT,Manual,2022,,Petrol,1462.0,8351,1st owner,1004000,19101,False,No,TS07,2022 Toyota URBAN CRUISER PREMIUM GRADE MT
Toyota,URBAN CRUISER MID GRADE MT,Manual,2022,1/5/2022,Petrol,1462.0,28970,1st owner,825000,15703,False,Yes,DL14,2022 Toyota URBAN CRUISER MID GRADE MT
Toyota,Innova Crysta 2.7 VX 7 STR,Manual,2022,1/1/2023,Petrol,2694.0,21296,1st owner,2051000,39039,True,No,UP16,2022 Toyota Innova Crysta 2.7 VX 7 STR
Toyota,Glanza G AMT,Automatic,2022,,Petrol,1197.0,18863,1st owner,846000,16103,True,No,TS07,2022 Toyota Glanza G AMT
Toyota,Glanza E,Manual,2022,,Petrol,1197.0,48331,1st owner,720000,14076,True,No,KA05,2022 Toyota Glanza E
Tata,TIGOR XZ PLUS CNG LEATHERETTE PACK,Manual,2022,1/12/2022,CNG,,32677,1st owner,727000,14219,False,Yes,UP85,2022 Tata TIGOR XZ PLUS CNG LEATHERETTE PACK
Tata,TIGOR XZ PLUS CNG DUAL TONE,Manual,2022,,CNG,1199.0,13590,1st owner,770000,15044,True,No,MH03,2022 Tata TIGOR XZ PLUS CNG DUAL TONE
Tata,TIGOR XZ PLUS CNG,Manual,2022,1/6/2022,CNG,1199.0,39086,1st owner,747000,14607,True,Yes,DL14,2022 Tata TIGOR XZ PLUS CNG
Tata,TIGOR XZ PLUS CNG,Manual,2022,1/8/2022,CNG,1199.0,37621,1st owner,723000,14141,False,No,UP14,2022 Tata TIGOR XZ PLUS CNG
Tata,TIGOR XZ PLUS CNG,Manual,2022,1/7/2022,CNG,1199.0,40949,1st owner,721000,14087,False,Yes,UP16,2022 Tata TIGOR XZ PLUS CNG
Tata,TIGOR XZ PLUS CNG,Manual,2022,,CNG,1199.0,18438,2nd owner,700000,13689,True,No,MH46,2022 Tata TIGOR XZ PLUS CNG
